,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-4.197,0.123,-4.427,-3.965,0.007,0.005,343.0,425.0,1.01
sh[0],0.037,0.124,-0.191,0.272,0.007,0.005,347.0,435.0,1.01
sh[1],0.001,0.129,-0.237,0.246,0.007,0.005,359.0,481.0,1.01
sh[2],0.181,0.35,-0.434,0.867,0.007,0.005,2906.0,2512.0,1.0
sh[3],-0.235,0.125,-0.467,0.003,0.007,0.005,360.0,445.0,1.01
sh[4],-0.478,0.128,-0.711,-0.23,0.007,0.005,379.0,519.0,1.01
sh[5],-0.571,0.142,-0.843,-0.305,0.006,0.005,489.0,776.0,1.01
sh[6],0.617,0.125,0.396,0.864,0.007,0.005,357.0,444.0,1.01
sh[7],0.128,0.127,-0.102,0.367,0.007,0.005,348.0,555.0,1.01
sh[8],-0.066,0.128,-0.312,0.172,0.007,0.005,369.0,548.0,1.01
sh[9],-0.95,0.161,-1.251,-0.648,0.007,0.005,573.0,894.0,1.01
sh[10],-0.468,0.126,-0.724,-0.25,0.007,0.005,355.0,469.0,1.01
sh[11],0.043,0.131,-0.21,0.279,0.007,0.005,381.0,607.0,1.01
sh[12],0.198,0.124,-0.039,0.428,0.007,0.005,352.0,413.0,1.01
sh[13],0.47,0.125,0.23,0.696,0.007,0.005,356.0,523.0,1.01
sh[14],0.547,0.125,0.299,0.768,0.007,0.005,345.0,440.0,1.01
sh[15],1.154,0.123,0.928,1.389,0.007,0.005,349.0,448.0,1.01
sh[16],-0.814,0.128,-1.046,-0.573,0.007,0.005,371.0,509.0,1.01
sh[17],0.005,0.125,-0.22,0.243,0.007,0.005,355.0,449.0,1.01
sh[18],0.484,0.124,0.256,0.716,0.007,0.005,349.0,431.0,1.01
sh[19],0.077,0.124,-0.17,0.298,0.007,0.005,349.0,463.0,1.01
sh[20],0.454,0.127,0.22,0.695,0.007,0.005,353.0,467.0,1.01
sh[21],0.567,0.13,0.339,0.821,0.007,0.005,395.0,478.0,1.01
sh[22],-0.276,0.125,-0.515,-0.043,0.007,0.005,347.0,469.0,1.01
sh[23],-1.472,0.125,-1.703,-1.233,0.007,0.005,352.0,492.0,1.01
sh_sigma,0.611,0.095,0.441,0.778,0.002,0.001,3820.0,2375.0,1.0
sh_severity[0],-0.018,0.35,-0.668,0.637,0.011,0.008,950.0,1669.0,1.01
sh_severity[1],-0.002,0.351,-0.65,0.663,0.011,0.008,953.0,1632.0,1.0
sh_severity[2],-0.026,0.351,-0.662,0.651,0.011,0.008,954.0,1593.0,1.01
sh_severity[3],0.086,0.356,-0.515,0.82,0.011,0.008,975.0,1607.0,1.0
sh_severity[4],0.068,0.361,-0.605,0.746,0.011,0.008,999.0,1555.0,1.0
sh_severity[5],0.358,0.432,-0.492,1.132,0.012,0.009,1281.0,2128.0,1.0
sh_severity[6],-0.123,0.619,-1.284,0.994,0.012,0.01,2894.0,3059.0,1.0
sh_severity[7],-0.227,0.377,-0.948,0.449,0.011,0.008,1096.0,1988.0,1.0
"log_incidence[0, 0]",-0.177,0.002,-0.18,-0.173,0.0,0.0,5598.0,2892.0,1.0
"log_incidence[0, 1]",-2.316,0.013,-2.341,-2.291,0.0,0.0,5795.0,2731.0,1.0
"log_incidence[0, 2]",-2.997,0.02,-3.034,-2.96,0.0,0.0,6875.0,2816.0,1.0
"log_incidence[0, 3]",-4.83,0.05,-4.923,-4.735,0.001,0.0,5010.0,2868.0,1.0
"log_incidence[0, 4]",-5.75,0.083,-5.894,-5.58,0.001,0.001,4637.0,2684.0,1.0
"log_incidence[0, 5]",-7.67,0.216,-8.104,-7.292,0.003,0.002,5022.0,2526.0,1.0
"log_incidence[0, 6]",-9.563,0.495,-10.494,-8.659,0.007,0.005,5190.0,3222.0,1.0
"log_incidence[0, 7]",-6.4,0.103,-6.594,-6.214,0.001,0.001,5684.0,2822.0,1.0
"log_incidence[1, 0]",-0.177,0.002,-0.181,-0.173,0.0,0.0,5593.0,2955.0,1.0
"log_incidence[1, 1]",-2.316,0.014,-2.343,-2.292,0.0,0.0,5736.0,2928.0,1.0
"log_incidence[1, 2]",-2.996,0.02,-3.034,-2.957,0.0,0.0,6867.0,2913.0,1.0
"log_incidence[1, 3]",-4.834,0.051,-4.928,-4.736,0.001,0.001,5045.0,2300.0,1.0
"log_incidence[1, 4]",-5.753,0.085,-5.908,-5.587,0.001,0.001,4672.0,2701.0,1.0
"log_incidence[1, 5]",-7.683,0.222,-8.105,-7.266,0.003,0.002,5034.0,2632.0,1.0
"log_incidence[1, 6]",-9.559,0.501,-10.542,-8.674,0.007,0.005,5132.0,3334.0,1.0
"log_incidence[1, 7]",-6.392,0.105,-6.604,-6.213,0.001,0.001,5593.0,2799.0,1.0
"log_incidence[2, 0]",-0.177,0.002,-0.181,-0.173,0.0,0.0,4858.0,2630.0,1.0
"log_incidence[2, 1]",-2.313,0.015,-2.34,-2.284,0.0,0.0,4526.0,2529.0,1.0
"log_incidence[2, 2]",-2.998,0.021,-3.037,-2.958,0.0,0.0,5088.0,3027.0,1.0
"log_incidence[2, 3]",-4.815,0.062,-4.929,-4.702,0.001,0.001,4079.0,3083.0,1.0
"log_incidence[2, 4]",-5.739,0.091,-5.924,-5.58,0.001,0.001,4030.0,2475.0,1.0
"log_incidence[2, 5]",-7.615,0.254,-8.091,-7.15,0.004,0.003,5026.0,2510.0,1.0
"log_incidence[2, 6]",-9.58,0.523,-10.578,-8.64,0.008,0.006,4290.0,2749.0,1.0
"log_incidence[2, 7]",-6.431,0.133,-6.694,-6.193,0.002,0.001,5231.0,2808.0,1.0
"log_incidence[3, 0]",-0.176,0.002,-0.181,-0.172,0.0,0.0,5427.0,2922.0,1.0
"log_incidence[3, 1]",-2.319,0.017,-2.352,-2.289,0.0,0.0,5591.0,3038.0,1.0
"log_incidence[3, 2]",-2.994,0.024,-3.043,-2.951,0.0,0.0,6466.0,2777.0,1.0
"log_incidence[3, 3]",-4.858,0.062,-4.976,-4.743,0.001,0.001,5080.0,2565.0,1.0
"log_incidence[3, 4]",-5.773,0.103,-5.971,-5.588,0.002,0.001,4634.0,2550.0,1.0
"log_incidence[3, 5]",-7.772,0.27,-8.304,-7.29,0.004,0.003,4840.0,2418.0,1.0
"log_incidence[3, 6]",-9.534,0.557,-10.586,-8.493,0.008,0.006,4863.0,2986.0,1.0
"log_incidence[3, 7]",-6.343,0.122,-6.568,-6.112,0.002,0.001,5302.0,3230.0,1.0
"log_incidence[4, 0]",-0.176,0.003,-0.182,-0.171,0.0,0.0,5272.0,3245.0,1.0
"log_incidence[4, 1]",-2.323,0.02,-2.358,-2.283,0.0,0.0,5374.0,2965.0,1.0
"log_incidence[4, 2]",-2.992,0.029,-3.048,-2.938,0.0,0.0,6086.0,2930.0,1.0
"log_incidence[4, 3]",-4.883,0.076,-5.021,-4.737,0.001,0.001,4912.0,3118.0,1.0
"log_incidence[4, 4]",-5.794,0.125,-6.034,-5.571,0.002,0.001,4637.0,2828.0,1.0
"log_incidence[4, 5]",-7.863,0.328,-8.479,-7.249,0.005,0.003,4790.0,2425.0,1.0
"log_incidence[4, 6]",-9.508,0.642,-10.786,-8.367,0.01,0.007,4708.0,2480.0,1.0
"log_incidence[4, 7]",-6.291,0.148,-6.581,-6.032,0.002,0.002,4904.0,3227.0,1.0
"log_incidence[5, 0]",-0.176,0.003,-0.182,-0.17,0.0,0.0,5242.0,3352.0,1.0
"log_incidence[5, 1]",-2.324,0.022,-2.363,-2.281,0.0,0.0,5312.0,3138.0,1.0
"log_incidence[5, 2]",-2.991,0.031,-3.05,-2.933,0.0,0.0,6056.0,3125.0,1.0
"log_incidence[5, 3]",-4.892,0.082,-5.044,-4.737,0.001,0.001,4883.0,2678.0,1.0
"log_incidence[5, 4]",-5.802,0.135,-6.07,-5.567,0.002,0.001,4603.0,2831.0,1.0
"log_incidence[5, 5]",-7.898,0.354,-8.548,-7.227,0.005,0.004,4708.0,2309.0,1.0
"log_incidence[5, 6]",-9.497,0.681,-10.752,-8.199,0.01,0.008,4662.0,2646.0,1.0
"log_incidence[5, 7]",-6.271,0.161,-6.565,-5.971,0.002,0.002,4725.0,2900.0,1.0
"log_incidence[6, 0]",-0.178,0.002,-0.182,-0.175,0.0,0.0,4639.0,3130.0,1.0
"log_incidence[6, 1]",-2.307,0.013,-2.333,-2.283,0.0,0.0,4621.0,3538.0,1.0
"log_incidence[6, 2]",-3.002,0.019,-3.041,-2.969,0.0,0.0,5127.0,3081.0,1.0
"log_incidence[6, 3]",-4.771,0.048,-4.86,-4.676,0.001,0.001,3923.0,2471.0,1.0
"log_incidence[6, 4]",-5.701,0.077,-5.848,-5.557,0.001,0.001,4855.0,2923.0,1.0
"log_incidence[6, 5]",-7.453,0.176,-7.781,-7.128,0.002,0.002,5062.0,3448.0,1.0
"log_incidence[6, 6]",-9.625,0.527,-10.618,-8.669,0.007,0.005,6084.0,2619.0,1.0
"log_incidence[6, 7]",-6.523,0.117,-6.741,-6.304,0.002,0.001,4789.0,2768.0,1.0
"log_incidence[7, 0]",-0.177,0.002,-0.181,-0.174,0.0,0.0,5609.0,2841.0,1.0
"log_incidence[7, 1]",-2.314,0.013,-2.337,-2.29,0.0,0.0,5802.0,2778.0,1.0
"log_incidence[7, 2]",-2.998,0.019,-3.032,-2.961,0.0,0.0,6838.0,2993.0,1.0
"log_incidence[7, 3]",-4.821,0.047,-4.912,-4.732,0.001,0.0,4824.0,2799.0,1.0
"log_incidence[7, 4]",-5.742,0.078,-5.898,-5.604,0.001,0.001,4705.0,2677.0,1.0
"log_incidence[7, 5]",-7.636,0.201,-8.028,-7.277,0.003,0.002,5096.0,2808.0,1.0
"log_incidence[7, 6]",-9.573,0.485,-10.468,-8.7,0.007,0.005,5315.0,2987.0,1.0
"log_incidence[7, 7]",-6.419,0.1,-6.619,-6.245,0.001,0.001,5611.0,2947.0,1.0
"log_incidence[8, 0]",-0.177,0.002,-0.181,-0.173,0.0,0.0,5558.0,2868.0,1.0
"log_incidence[8, 1]",-2.317,0.015,-2.345,-2.291,0.0,0.0,5734.0,2861.0,1.0
"log_incidence[8, 2]",-2.996,0.021,-3.035,-2.955,0.0,0.0,6806.0,2612.0,1.0
"log_incidence[8, 3]",-4.841,0.054,-4.946,-4.74,0.001,0.001,5135.0,2604.0,1.0
"log_incidence[8, 4]",-5.759,0.09,-5.931,-5.595,0.001,0.001,4611.0,2458.0,1.0
"log_incidence[8, 5]",-7.708,0.235,-8.165,-7.287,0.003,0.002,4996.0,2431.0,1.0
"log_incidence[8, 6]",-9.552,0.514,-10.542,-8.63,0.008,0.005,5024.0,3168.0,1.0
"log_incidence[8, 7]",-6.378,0.109,-6.58,-6.179,0.001,0.001,5650.0,2843.0,1.0
"log_incidence[9, 0]",-0.175,0.004,-0.183,-0.168,0.0,0.0,4939.0,3116.0,1.0
"log_incidence[9, 1]",-2.33,0.029,-2.383,-2.276,0.0,0.0,5006.0,2984.0,1.0
"log_incidence[9, 2]",-2.987,0.041,-3.066,-2.914,0.001,0.0,5714.0,3198.0,1.0
"log_incidence[9, 3]",-4.93,0.107,-5.135,-4.733,0.002,0.001,4731.0,3081.0,1.0
"log_incidence[9, 4]",-5.834,0.175,-6.169,-5.525,0.003,0.002,4533.0,3108.0,1.0
"log_incidence[9, 5]",-8.04,0.453,-8.914,-7.217,0.007,0.005,4732.0,2424.0,1.0
"log_incidence[9, 6]",-9.457,0.853,-11.084,-7.885,0.013,0.01,4490.0,2215.0,1.0
"log_incidence[9, 7]",-6.192,0.212,-6.599,-5.81,0.003,0.002,4472.0,3400.0,1.0
"log_incidence[10, 0]",-0.176,0.003,-0.182,-0.171,0.0,0.0,5278.0,3127.0,1.0
"log_incidence[10, 1]",-2.323,0.02,-2.358,-2.283,0.0,0.0,5373.0,2951.0,1.0
"log_incidence[10, 2]",-2.992,0.029,-3.046,-2.937,0.0,0.0,6108.0,2973.0,1.0
"log_incidence[10, 3]",-4.881,0.076,-5.024,-4.74,0.001,0.001,4966.0,2875.0,1.0
"log_incidence[10, 4]",-5.793,0.124,-6.037,-5.576,0.002,0.001,4608.0,2624.0,1.0
"log_incidence[10, 5]",-7.859,0.326,-8.47,-7.252,0.005,0.003,4780.0,2364.0,1.0
"log_incidence[10, 6]",-9.508,0.638,-10.785,-8.38,0.01,0.007,4702.0,2568.0,1.0
"log_incidence[10, 7]",-6.294,0.147,-6.578,-6.033,0.002,0.001,4936.0,3128.0,1.0
"log_incidence[11, 0]",-0.177,0.002,-0.181,-0.173,0.0,0.0,5616.0,2995.0,1.0
"log_incidence[11, 1]",-2.315,0.013,-2.342,-2.292,0.0,0.0,5792.0,2876.0,1.0
"log_incidence[11, 2]",-2.997,0.02,-3.036,-2.961,0.0,0.0,6815.0,2900.0,1.0
"log_incidence[11, 3]",-4.829,0.05,-4.92,-4.732,0.001,0.001,4980.0,2679.0,1.0
"log_incidence[11, 4]",-5.75,0.083,-5.896,-5.584,0.001,0.001,4649.0,2506.0,1.0
"log_incidence[11, 5]",-7.668,0.216,-8.094,-7.283,0.003,0.002,4955.0,2694.0,1.0
"log_incidence[11, 6]",-9.564,0.496,-10.543,-8.71,0.007,0.005,5170.0,3114.0,1.0
"log_incidence[11, 7]",-6.402,0.103,-6.595,-6.213,0.001,0.001,5716.0,2906.0,1.0
"log_incidence[12, 0]",-0.177,0.002,-0.18,-0.174,0.0,0.0,5551.0,3035.0,1.0
"log_incidence[12, 1]",-2.313,0.012,-2.336,-2.29,0.0,0.0,5670.0,2818.0,1.0
"log_incidence[12, 2]",-2.998,0.018,-3.032,-2.964,0.0,0.0,6702.0,2951.0,1.0
"log_incidence[12, 3]",-4.814,0.045,-4.898,-4.725,0.001,0.0,4634.0,3047.0,1.0
"log_incidence[12, 4]",-5.737,0.075,-5.877,-5.594,0.001,0.001,4687.0,2582.0,1.0
"log_incidence[12, 5]",-7.61,0.191,-7.952,-7.239,0.003,0.002,5066.0,2932.0,1.0
"log_incidence[12, 6]",-9.58,0.48,-10.463,-8.721,0.007,0.005,5448.0,3160.0,1.0
"log_incidence[12, 7]",-6.434,0.099,-6.626,-6.257,0.001,0.001,5688.0,3197.0,1.0
"log_incidence[13, 0]",-0.178,0.002,-0.181,-0.174,0.0,0.0,4980.0,3178.0,1.0
"log_incidence[13, 1]",-2.309,0.012,-2.332,-2.285,0.0,0.0,4951.0,3250.0,1.0
"log_incidence[13, 2]",-3.001,0.018,-3.034,-2.966,0.0,0.0,5899.0,3082.0,1.0
"log_incidence[13, 3]",-4.786,0.045,-4.87,-4.703,0.001,0.0,4053.0,2955.0,1.0
"log_incidence[13, 4]",-5.714,0.073,-5.848,-5.576,0.001,0.001,4815.0,2922.0,1.0
"log_incidence[13, 5]",-7.508,0.172,-7.835,-7.195,0.002,0.002,5095.0,3300.0,1.0
"log_incidence[13, 6]",-9.609,0.497,-10.57,-8.73,0.007,0.005,5980.0,2795.0,1.0
"log_incidence[13, 7]",-6.492,0.106,-6.69,-6.293,0.001,0.001,5218.0,3003.0,1.0
"log_incidence[14, 0]",-0.178,0.002,-0.182,-0.175,0.0,0.0,4811.0,3179.0,1.0
"log_incidence[14, 1]",-2.308,0.013,-2.332,-2.283,0.0,0.0,4779.0,3382.0,1.0
"log_incidence[14, 2]",-3.002,0.019,-3.037,-2.968,0.0,0.0,5367.0,3211.0,1.0
"log_incidence[14, 3]",-4.778,0.046,-4.86,-4.686,0.001,0.001,3985.0,2925.0,1.0
"log_incidence[14, 4]",-5.707,0.075,-5.84,-5.558,0.001,0.001,4783.0,2789.0,1.0
"log_incidence[14, 5]",-7.479,0.173,-7.8,-7.158,0.002,0.002,5078.0,3418.0,1.0
"log_incidence[14, 6]",-9.618,0.511,-10.614,-8.724,0.007,0.005,6046.0,2744.0,1.0
"log_incidence[14, 7]",-6.508,0.112,-6.719,-6.303,0.002,0.001,4944.0,2991.0,1.0
"log_incidence[15, 0]",-0.18,0.003,-0.185,-0.174,0.0,0.0,4202.0,2686.0,1.0
"log_incidence[15, 1]",-2.3,0.02,-2.337,-2.262,0.0,0.0,4175.0,2872.0,1.0
"log_incidence[15, 2]",-3.008,0.029,-3.065,-2.958,0.0,0.0,4436.0,3090.0,1.0
"log_incidence[15, 3]",-4.717,0.074,-4.855,-4.577,0.001,0.001,3702.0,1953.0,1.0
"log_incidence[15, 4]",-5.656,0.116,-5.878,-5.444,0.002,0.001,4594.0,3162.0,1.0
"log_incidence[15, 5]",-7.252,0.258,-7.714,-6.765,0.004,0.003,4812.0,2803.0,1.0
"log_incidence[15, 6]",-9.683,0.717,-11.1,-8.428,0.01,0.007,5573.0,2515.0,1.0
"log_incidence[15, 7]",-6.637,0.178,-6.963,-6.295,0.003,0.002,4196.0,2696.0,1.0
"log_incidence[16, 0]",-0.175,0.004,-0.183,-0.169,0.0,0.0,5039.0,3486.0,1.0
"log_incidence[16, 1]",-2.328,0.026,-2.374,-2.278,0.0,0.0,5113.0,3072.0,1.0
"log_incidence[16, 2]",-2.989,0.037,-3.059,-2.92,0.0,0.0,5882.0,3291.0,1.0
"log_incidence[16, 3]",-4.917,0.098,-5.1,-4.735,0.001,0.001,4705.0,3058.0,1.0
"log_incidence[16, 4]",-5.822,0.159,-6.13,-5.541,0.002,0.002,4591.0,2998.0,1.0
"log_incidence[16, 5]",-7.989,0.414,-8.726,-7.169,0.006,0.004,4657.0,2462.0,1.0
"log_incidence[16, 6]",-9.472,0.787,-11.06,-8.083,0.012,0.009,4581.0,2575.0,1.0
"log_incidence[16, 7]",-6.221,0.191,-6.585,-5.874,0.003,0.002,4593.0,3344.0,1.0
"log_incidence[17, 0]",-0.177,0.002,-0.181,-0.173,0.0,0.0,5630.0,2840.0,1.0
"log_incidence[17, 1]",-2.316,0.014,-2.341,-2.291,0.0,0.0,5816.0,2860.0,1.0
"log_incidence[17, 2]",-2.996,0.02,-3.033,-2.957,0.0,0.0,6914.0,2912.0,1.0
"log_incidence[17, 3]",-4.833,0.051,-4.93,-4.737,0.001,0.001,5113.0,2770.0,1.0
"log_incidence[17, 4]",-5.753,0.085,-5.927,-5.606,0.001,0.001,4661.0,2655.0,1.0
"log_incidence[17, 5]",-7.682,0.222,-8.129,-7.294,0.003,0.002,5019.0,2557.0,1.0
"log_incidence[17, 6]",-9.56,0.501,-10.512,-8.651,0.007,0.005,5144.0,3248.0,1.0
"log_incidence[17, 7]",-6.394,0.104,-6.583,-6.197,0.001,0.001,5600.0,2660.0,1.0
"log_incidence[18, 0]",-0.178,0.002,-0.181,-0.174,0.0,0.0,4965.0,3103.0,1.0
"log_incidence[18, 1]",-2.309,0.012,-2.332,-2.285,0.0,0.0,4912.0,3361.0,1.0
"log_incidence[18, 2]",-3.001,0.018,-3.035,-2.966,0.0,0.0,5860.0,3137.0,1.0
"log_incidence[18, 3]",-4.785,0.045,-4.872,-4.703,0.001,0.0,4060.0,3053.0,1.0
"log_incidence[18, 4]",-5.713,0.073,-5.848,-5.574,0.001,0.001,4819.0,2921.0,1.0
"log_incidence[18, 5]",-7.503,0.172,-7.82,-7.185,0.002,0.002,5103.0,3449.0,1.0
"log_incidence[18, 6]",-9.611,0.499,-10.576,-8.732,0.007,0.005,6022.0,2774.0,1.0
"log_incidence[18, 7]",-6.495,0.107,-6.696,-6.297,0.001,0.001,5153.0,2914.0,1.0
"log_incidence[19, 0]",-0.177,0.002,-0.181,-0.173,0.0,0.0,5605.0,2851.0,1.0
"log_incidence[19, 1]",-2.315,0.013,-2.34,-2.291,0.0,0.0,5806.0,2863.0,1.0
"log_incidence[19, 2]",-2.997,0.019,-3.034,-2.961,0.0,0.0,6872.0,3002.0,1.0
"log_incidence[19, 3]",-4.826,0.049,-4.918,-4.734,0.001,0.0,4923.0,3074.0,1.0
"log_incidence[19, 4]",-5.747,0.081,-5.887,-5.583,0.001,0.001,4663.0,2632.0,1.0
"log_incidence[19, 5]",-7.655,0.209,-8.062,-7.281,0.003,0.002,5049.0,2652.0,1.0
"log_incidence[19, 6]",-9.567,0.49,-10.458,-8.653,0.007,0.005,5228.0,3065.0,1.0
"log_incidence[19, 7]",-6.409,0.101,-6.59,-6.214,0.001,0.001,5747.0,2883.0,1.0
"log_incidence[20, 0]",-0.178,0.002,-0.181,-0.174,0.0,0.0,5040.0,3052.0,1.0
"log_incidence[20, 1]",-2.31,0.012,-2.333,-2.286,0.0,0.0,4994.0,3524.0,1.0
"log_incidence[20, 2]",-3.001,0.018,-3.034,-2.967,0.0,0.0,6006.0,3242.0,1.0
"log_incidence[20, 3]",-4.788,0.045,-4.87,-4.703,0.001,0.0,4087.0,2897.0,1.0
"log_incidence[20, 4]",-5.715,0.072,-5.847,-5.574,0.001,0.001,4810.0,2966.0,1.0
"log_incidence[20, 5]",-7.514,0.172,-7.86,-7.221,0.002,0.002,5129.0,3418.0,1.0
"log_incidence[20, 6]",-9.608,0.495,-10.554,-8.733,0.007,0.005,5953.0,2748.0,1.0
"log_incidence[20, 7]",-6.489,0.106,-6.682,-6.291,0.001,0.001,5194.0,2988.0,1.0
"log_incidence[21, 0]",-0.178,0.002,-0.182,-0.175,0.0,0.0,4705.0,3229.0,1.0
"log_incidence[21, 1]",-2.308,0.013,-2.332,-2.283,0.0,0.0,4662.0,3429.0,1.0
"log_incidence[21, 2]",-3.002,0.019,-3.037,-2.967,0.0,0.0,5319.0,3009.0,1.0
"log_incidence[21, 3]",-4.776,0.047,-4.866,-4.687,0.001,0.001,3921.0,2596.0,1.0
"log_incidence[21, 4]",-5.706,0.076,-5.846,-5.56,0.001,0.001,4781.0,2917.0,1.0
"log_incidence[21, 5]",-7.472,0.174,-7.799,-7.159,0.002,0.002,5004.0,3383.0,1.0
"log_incidence[21, 6]",-9.619,0.516,-10.664,-8.756,0.007,0.005,6024.0,2772.0,1.0
"log_incidence[21, 7]",-6.512,0.113,-6.725,-6.301,0.002,0.001,4929.0,3087.0,1.0
"log_incidence[22, 0]",-0.176,0.003,-0.181,-0.172,0.0,0.0,5434.0,3015.0,1.0
"log_incidence[22, 1]",-2.32,0.017,-2.352,-2.288,0.0,0.0,5585.0,2901.0,1.0
"log_incidence[22, 2]",-2.994,0.025,-3.042,-2.948,0.0,0.0,6399.0,2819.0,1.0
"log_incidence[22, 3]",-4.862,0.064,-4.978,-4.736,0.001,0.001,5075.0,2851.0,1.0
"log_incidence[22, 4]",-5.777,0.106,-5.98,-5.586,0.002,0.001,4577.0,2583.0,1.0
"log_incidence[22, 5]",-7.787,0.28,-8.339,-7.287,0.004,0.003,4822.0,2417.0,1.0
"log_incidence[22, 6]",-9.529,0.57,-10.626,-8.477,0.009,0.006,4841.0,2923.0,1.0
"log_incidence[22, 7]",-6.334,0.126,-6.565,-6.095,0.002,0.001,5276.0,3203.0,1.0
"log_incidence[23, 0]",-0.174,0.005,-0.185,-0.165,0.0,0.0,4789.0,3160.0,1.0
"log_incidence[23, 1]",-2.337,0.038,-2.41,-2.267,0.001,0.0,4837.0,3263.0,1.0
"log_incidence[23, 2]",-2.983,0.054,-3.087,-2.885,0.001,0.001,5412.0,3497.0,1.0
"log_incidence[23, 3]",-4.984,0.144,-5.259,-4.714,0.002,0.002,4491.0,2887.0,1.0
"log_incidence[23, 4]",-5.878,0.231,-6.315,-5.46,0.003,0.002,4559.0,3166.0,1.0
"log_incidence[23, 5]",-8.235,0.591,-9.386,-7.171,0.009,0.006,4565.0,2707.0,1.0
"log_incidence[23, 6]",-9.402,1.118,-11.53,-7.334,0.018,0.013,4485.0,2367.0,1.0
"log_incidence[23, 7]",-6.082,0.285,-6.633,-5.566,0.004,0.003,4305.0,3382.0,1.0
